,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941
1,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949.1,949,949,949,949.1,948.9,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949.1,949
2,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918
3,929.5,929.1,929.8,929.3,929.3,930,929.6,929.7,929.2,928.6,929.2,929.4,929.5,929.3,929.4,929.8,928.9,929.8,929.8,929.7,929.5,929.8,929.5,929.6,929.1,929.4,929.7,929.5,929.2,929.8,929.8,929.7,930,929.8,929.4,929.2,929.7,929.5,929.1,929.4,929.6,929.8,929.8,929.3,929.1,930,929.6,929,929.1,929.6
4,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915
5,939.6,939.9,939.2,938.9,940.5,940.4,938.9,939.9,940,939.8,941,940.2,940.6,940.5,940.3,939.6,939.9,940.2,940.2,939.6,941.1,939.6,939.8,940.4,939.5,939.2,940.3,938.8,939.8,939.9,940.5,939.5,939.6,940.2,939.4,939.8,939.9,940.2,940.7,939.6,941,939.3,939.9,940.5,939.6,939.6,939.3,939.9,939.5,941
6,908.4,908.7,908.6,908.9,908.7,908.7,908.8,909,908.8,908.8,908.2,908.9,909,909,909,909,909,908.3,909,909,908.8,909,909,909,909,909,909,909,909,909,908.9,909,908.8,909,908.9,909,908.9,908.6,909,908.8,909,908.9,908.9,908.7,908.7,908.9,908.6,908.9,909,908.5
7,1006.5,1005.9,1005,1006.9,1007,1005,1006.5,1005,1006.5,1005,1008.6,1008.6,1006.5,1006,1008,1007,1008.1,1006,1005.5,1006.5,1006.4,1007.6,1006.5,1007.1,1006.4,1005,1005.5,1005.1,1006.8,1008.2,1007.5,1005.5,1005.5,1007.1,1008.1,1006,1005.5,1006,1005.5,1005.4,1007,1005.5,1005.5,1005,1006.4,1006,1005.3,1005.9,1006,1005
8,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868
9,1122.6,1123,1123,1122.6,1122,1122.1,1122.3,1122,1122.9,1122,1122.4,1122.6,1123.4,1122.2,1122.5,1121.9,1122,1123,1122.6,1123.6,1122.2,1122,1122.7,1123,1123,1121.8,1122,1122,1122,1122.3,1122.7,1122,1122.6,1123.4,1120.7,1122,1122.5,1122.9,1122.4,1122.2,1122.8,1122,1122,1122.3,1122.1,1122.1,1122.1,1123,1122.5,1122.7
