,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,905,901,901,891,905,905,901,905,895,897,899,905,905,905,897,905,893,905,897,889,905,905,891,901,905,903,901,903,901,905,899,905,899,893,885,903,901,883,893,903,901,905,905,901,901,899,889,903,901,905
1,953,945,959,941,939,939,943,941,939,957,949,939,943,945,959,941,943,941,937,939,943,939,941,941,947,943,949,941,939,939,939,939,943,937,949,951,939,939,941,943,939,937,947,937,939,951,949,959,945,949
2,912,888,916,922,912,920,918,910,905,922,920,878,912,922,920,922,910,910,912,922,910,874,912,888,910,860,922,888,882,912,900,922,912,888,912,922,910,874,922,888,916,916,905,922,886,872,912,910,922,910
3,970,970,970,956,976,968,968,972,968,956,976,972,974,970,976,962,964,1002,978,956,968,976,970,972,976,980,958,972,1016,976,970,970,1008,970,974,972,972,1000,970,974,970,976,978,974,976,984,972,978,962,972
4,883,897,895,897,873,897,885,895,897,895,897,885,881,895,889,897,893,885,895,885,895,883,885,887,881,895,891,885,881,865,887,881,895,897,897,797,895,897,893,887,877,877,897,897,881,895,877,897,879,881
5,955,957,955,957,965,951,959,965,953,951,961,959,965,961,975,951,951,955,955,967,961,953,965,953,953,983,951,949,961,1009,959,981,953,957,957,1019,951,949,959,975,951,955,963,965,971,951,959,959,959,961
6,801,859,853,875,859,847,877,877,875,847,877,877,873,877,877,877,877,877,849,875,877,877,875,877,877,877,855,875,877,857,877,877,877,859,847,877,877,875,877,859,877,875,847,875,877,857,833,849,877,847
7,1051,1047,1053,1053,1047,1045,1045,1045,1061,1049,1047,1063,1047,1055,1047,1067,1047,1047,1051,1045,1045,1047,1027,1047,1057,1049,1099,1049,1053,1065,1045,1045,1053,1047,1063,1045,1055,1047,1047,1051,1047,1045,1047,1047,1049,1049,1081,1075,1047,1047
8,784,780,834,834,784,834,834,780,784,782,836,836,776,834,834,834,840,834,784,838,784,838,838,834,835,772,780,838,784,784,780,800,836,838,778,834,838,784,838,796,836,838,834,784,782,760,834,834,784,780
9,1200,1214,1212,1194,1206,1200,1202,1218,1196,1236,1202,1202,1216,1202,1202,1198,1196,1198,1214,1204,1148,1212,1202,1236,1213,1200,1200,1216,1208,1186,1202,1192,1252,1188,1202,1196,1186,1212,1212,1192,1206,1202,1212,1202,1196,1246,1194,1202,1198,1202
