,0,1,2,3,4,5,6,7,8,9
0,941.0,949.0,918.0,929.5,915.0,939.6,908.4,1006.5,868.0,1122.6
1,941.0,949.0,918.0,929.1,915.0,939.9,908.7,1005.9,868.0,1123.0
2,941.0,949.0,918.0,929.8,915.0,939.2,908.6,1005.0,868.0,1123.0
3,941.0,949.0,918.0,929.3,915.0,938.9,908.9,1006.9,868.0,1122.6
4,941.0,949.0,918.0,929.3,915.0,940.5,908.7,1007.0,868.0,1122.0
5,941.0,949.0,918.0,930.0,915.0,940.4,908.7,1005.0,868.0,1122.1
6,941.0,949.0,918.0,929.6,915.0,938.9,908.8,1006.5,868.0,1122.3
7,941.0,949.0,918.0,929.7,915.0,939.9,909.0,1005.0,868.0,1122.0
8,941.0,949.0,918.0,929.2,915.0,940.0,908.8,1006.5,868.0,1122.9
9,941.0,949.0,918.0,928.6,915.0,939.8,908.8,1005.0,868.0,1122.0
10,941.0,949.0,918.0,929.2,915.0,941.0,908.2,1008.6,868.0,1122.4
11,941.0,949.0,918.0,929.4,915.0,940.2,908.9,1008.6,868.0,1122.6
12,941.0,949.0,918.0,929.5,915.0,940.6,909.0,1006.5,868.0,1123.4
13,941.0,949.0,918.0,929.3,915.0,940.5,909.0,1006.0,868.0,1122.2
14,941.0,949.1,918.0,929.4,915.0,940.3,909.0,1008.0,868.0,1122.5
15,941.0,949.0,918.0,929.8,915.0,939.6,909.0,1007.0,868.0,1121.9
16,941.0,949.0,918.0,928.9,915.0,939.9,909.0,1008.1,868.0,1122.0
17,941.0,949.0,918.0,929.8,915.0,940.2,908.3,1006.0,868.0,1123.0
18,941.0,949.1,918.0,929.8,915.0,940.2,909.0,1005.5,868.0,1122.6
19,941.0,948.9,918.0,929.7,915.0,939.6,909.0,1006.5,868.0,1123.6
20,941.0,949.0,918.0,929.5,915.0,941.1,908.8,1006.4,868.0,1122.2
21,941.0,949.0,918.0,929.8,915.0,939.6,909.0,1007.6,868.0,1122.0
22,941.0,949.0,918.0,929.5,915.0,939.8,909.0,1006.5,868.0,1122.7
23,941.0,949.0,918.0,929.6,915.0,940.4,909.0,1007.1,868.0,1123.0
24,941.0,949.0,918.0,929.1,915.0,939.5,909.0,1006.4,868.0,1123.0
25,941.0,949.0,918.0,929.4,915.0,939.2,909.0,1005.0,868.0,1121.8
26,941.0,949.0,918.0,929.7,915.0,940.3,909.0,1005.5,868.0,1122.0
27,941.0,949.0,918.0,929.5,915.0,938.8,909.0,1005.1,868.0,1122.0
28,941.0,949.0,918.0,929.2,915.0,939.8,909.0,1006.8,868.0,1122.0
29,941.0,949.0,918.0,929.8,915.0,939.9,909.0,1008.2,868.0,1122.3
30,941.0,949.0,918.0,929.8,915.0,940.5,908.9,1007.5,868.0,1122.7
31,941.0,949.0,918.0,929.7,915.0,939.5,909.0,1005.5,868.0,1122.0
32,941.0,949.0,918.0,930.0,915.0,939.6,908.8,1005.5,868.0,1122.6
33,941.0,949.0,918.0,929.8,915.0,940.2,909.0,1007.1,868.0,1123.4
34,941.0,949.0,918.0,929.4,915.0,939.4,908.9,1008.1,868.0,1120.7
35,941.0,949.0,918.0,929.2,915.0,939.8,909.0,1006.0,868.0,1122.0
36,941.0,949.0,918.0,929.7,915.0,939.9,908.9,1005.5,868.0,1122.5
37,941.0,949.0,918.0,929.5,915.0,940.2,908.6,1006.0,868.0,1122.9
38,941.0,949.0,918.0,929.1,915.0,940.7,909.0,1005.5,868.0,1122.4
39,941.0,949.0,918.0,929.4,915.0,939.6,908.8,1005.4,868.0,1122.2
40,941.0,949.0,918.0,929.6,915.0,941.0,909.0,1007.0,868.0,1122.8
41,941.0,949.0,918.0,929.8,915.0,939.3,908.9,1005.5,868.0,1122.0
42,941.0,949.0,918.0,929.8,915.0,939.9,908.9,1005.5,868.0,1122.0
43,941.0,949.0,918.0,929.3,915.0,940.5,908.7,1005.0,868.0,1122.3
44,941.0,949.0,918.0,929.1,915.0,939.6,908.7,1006.4,868.0,1122.1
45,941.0,949.0,918.0,930.0,915.0,939.6,908.9,1006.0,868.0,1122.1
46,941.0,949.0,918.0,929.6,915.0,939.3,908.6,1005.3,868.0,1122.1
47,941.0,949.0,918.0,929.0,915.0,939.9,908.9,1005.9,868.0,1123.0
48,941.0,949.1,918.0,929.1,915.0,939.5,909.0,1006.0,868.0,1122.5
49,941.0,949.0,918.0,929.6,915.0,941.0,908.5,1005.0,868.0,1122.7
