,0,1,2,3,4,5,6,7,8,9
0,941.0,949.5,917.4,931.7,915.0,937.4,909.0,1001.0,868.0,1072.8
1,941.0,949.3,917.2,931.6,915.0,938.8,909.0,1001.0,868.0,1073.4
2,941.0,949.3,916.8,931.6,915.0,937.9,909.0,1000.9,868.0,1073.1
3,932.9,949.3,917.4,931.2,915.0,938.5,909.0,1001.1,868.0,1072.5
4,941.0,949.2,917.2,932.0,915.0,939.1,909.0,1000.9,868.0,1072.8
5,941.0,949.4,917.2,932.3,915.0,938.1,909.0,1000.7,868.0,1072.8
6,941.0,949.5,917.0,931.5,915.0,938.0,909.0,1001.0,868.0,1072.8
7,941.0,949.2,916.8,951.4,915.0,939.5,909.0,1001.0,868.0,1072.8
8,941.0,949.3,916.8,931.3,915.0,938.8,909.0,1001.0,868.0,1073.1
9,941.0,949.1,916.6,931.9,915.0,938.6,909.0,1001.0,868.0,1072.5
10,941.0,949.2,917.0,932.3,915.0,939.2,909.0,1001.0,868.0,1073.4
11,941.0,949.3,917.2,931.6,915.0,939.7,909.0,1001.0,868.0,1073.7
12,941.0,949.3,917.4,932.3,915.0,939.1,909.0,1001.0,868.0,1073.7
13,941.0,949.4,917.6,932.6,915.0,938.3,909.0,1000.9,868.0,1073.7
14,941.0,949.2,917.2,932.0,915.0,939.1,909.0,1000.9,868.0,1073.4
15,941.0,949.4,916.6,931.2,915.0,938.0,909.0,1001.1,868.0,1073.4
16,941.0,949.1,917.0,931.7,915.0,938.0,909.0,1001.0,868.0,1072.5
17,941.0,949.1,917.4,932.6,915.0,938.4,909.0,1000.8,868.0,1073.1
18,941.0,949.3,916.8,931.7,915.0,938.5,909.0,1000.9,868.0,1072.8
19,941.0,949.4,916.8,931.7,915.0,938.7,909.0,1001.0,868.0,1073.7
20,941.0,949.2,917.6,932.2,915.0,938.4,909.0,1000.9,868.0,1073.1
21,937.0,949.2,917.2,931.4,915.0,938.4,909.0,1001.0,868.0,1073.4
22,941.0,949.1,917.0,932.0,915.0,939.1,909.0,1001.1,868.0,1074.0
23,941.0,949.2,917.2,931.8,915.0,938.5,909.0,1001.0,868.0,1073.4
24,936.9,949.3,916.8,931.8,915.0,938.1,909.0,1000.9,868.0,1073.1
25,941.0,949.1,917.2,931.8,915.0,938.6,909.0,1000.8,868.0,1073.1
26,941.0,949.3,916.8,931.8,915.0,939.1,909.0,1001.0,868.0,1072.8
27,941.0,949.2,917.0,932.4,915.0,937.8,909.0,1001.2,868.0,1073.1
28,941.0,949.1,916.8,931.9,915.0,938.0,909.0,1001.0,868.0,1073.1
29,941.0,949.2,917.2,932.2,915.0,938.2,909.0,1000.9,868.0,1073.4
30,941.0,949.2,916.8,931.8,915.0,938.6,909.0,1001.0,868.0,1073.7
31,941.0,949.3,917.0,931.7,915.0,938.4,909.0,1001.0,868.0,1073.4
32,941.0,949.2,916.8,932.1,915.0,938.8,909.0,1001.0,868.0,1073.7
33,941.0,949.3,917.0,931.3,915.0,939.0,909.0,1001.0,868.0,1073.1
34,941.0,949.4,917.2,932.0,915.0,938.2,909.0,1000.8,868.0,1073.4
35,941.0,949.3,917.4,932.4,915.0,938.1,909.0,1001.0,868.0,1073.7
36,941.0,949.2,917.0,931.4,915.0,938.8,909.0,1001.0,868.0,1073.7
37,941.0,949.4,917.2,932.2,915.0,937.5,909.0,1000.9,868.0,1073.1
38,941.0,949.2,916.8,932.3,915.0,939.1,909.0,1000.8,868.0,1073.7
39,941.0,949.4,917.2,931.3,915.0,937.8,909.0,1000.9,868.0,1073.4
40,941.0,949.5,917.4,931.4,915.0,939.1,909.0,1000.9,868.0,1073.7
41,941.0,949.3,916.6,932.1,915.0,937.8,909.0,1000.8,868.0,1073.7
42,936.9,949.4,917.0,931.6,915.0,939.0,909.0,1000.8,868.0,1074.0
43,941.0,949.5,917.0,931.7,915.0,938.4,909.0,1001.0,868.0,1072.8
44,937.0,949.2,917.0,932.2,915.0,938.0,909.0,1001.0,868.0,1073.1
45,941.0,949.4,917.2,931.2,915.0,938.6,909.0,1000.9,868.0,1073.7
46,941.0,949.4,917.0,931.7,915.0,938.0,909.0,1001.0,868.0,1073.4
47,936.9,949.3,916.8,931.3,915.0,939.1,909.0,1000.8,868.0,1073.4
48,941.0,949.3,916.6,931.5,915.0,938.3,909.0,1001.0,868.0,1073.7
49,941.0,949.4,917.2,931.6,915.0,939.2,909.0,1000.9,868.0,1073.4
